RegionID,SizeRank,City/State,Lat,Long,Monthly Average,Radius,YOY %
395011,231,"Racine, WI",42.7261,-87.7829,1268,10,6.30%
394380,232,"Bend, OR",44.0582,-121.3153,1850,10,3.50%
395047,233,"Saginaw, MI",43.4195,-83.9508,942,10,5.70%
395202,234,"Warner Robins, GA",32.613,-83.6242,1535,10,1.60%
395151,235,"Terre Haute, IN",39.4667,-87.4139,827,12.5,3.70%
395162,236,"Torrington, CT",41.8006,-73.1212,1532,10,7.90%
395009,237,"Punta Gorda, FL",26.9298,-82.0454,1596,10,-2.20%
394386,239,"Billings, MT",45.7833,-108.5007,1296,12.5,3.50%
395018,240,"Redding, CA",40.5865,-122.3917,1250,12.5,6.40%
394748,241,"Kingston, NY",41.927,-73.9974,1835,10,2.50%
394960,242,"Panama City, FL",30.1588,-85.6602,1640,12.5,-0.20%
394729,243,"Joplin, MO",37.0842,-94.5133,1029,10,5.90%
394539,244,"Dover, DE",39.1582,-75.5244,1539,10,2.60%
394712,246,"Jackson, TN",35.6145,-88.8139,1005,12.5,4.40%
395246,247,"Yuba City, CA",39.1404,-121.6169,1385,10,1.60%
394406,248,"Bowling Green, KY",36.9685,-86.4808,1145,12.5,1.10%
395119,249,"St. George, UT",37.0965,-113.5684,1597,12.5,3.60%
394896,250,"Muskegon, MI",43.2342,-86.2484,1068,10,11.30%
394299,251,"Abilene, TX",32.4487,-99.7331,1329,10,14.60%
394707,252,"Iowa City, IA",41.6611,-91.5302,999,12.5,4.90%
394351,253,"Auburn, AL",32.6099,-85.4808,1418,12.5,0.00%
394860,254,"Midland, TX",31.9973,-102.0779,1574,12.5,3.90%
394671,255,"Hattiesburg, MS",31.3271,-89.2903,1301,10,11.00%
753869,255,"Bloomington, IL",40.4842,-88.9937,1005,12.5,4.10%
394944,257,"Oshkosh, WI",44.0247,-88.5426,1090,12.5,7.00%
394555,258,"Eau Claire, WI",44.8113,-91.4985,1021,12.5,2.80%
394651,259,"Greenville, NC",35.6127,-77.3664,1430,12.5,5.20%
394428,260,"Burlington, NC",36.0957,-79.4378,1331,10,5.90%
395210,261,"Waterloo, IA",42.4928,-92.3426,940,10,5.20%
394480,262,"Coeur d'Alene, ID",47.6777,-116.7805,1656,10,4.10%
394553,263,"East Stroudsburg, PA",41.0004,-75.18,1491,10,0.40%
395007,264,"Pueblo, CO",38.2544,-104.6091,1192,10,1.60%
395215,266,"Wausau, WI",44.9591,-89.6301,918,10,5.00%
394731,267,"Kahului, HI",20.8895,-156.4743,2836,10,5.80%
394720,268,"Janesville, WI",42.6828,-89.0187,979,10,12.40%
395170,269,"Tupelo, MS",34.2576,-88.7034,1075,10,6.50%
394393,270,"Bloomington, IN",39.1653,-86.5264,1201,10,3.80%
394930,271,"Odessa, TX",31.8457,-102.3676,1440,12.5,7.50%
394710,272,"Jackson, MI",42.2459,-84.4014,943,10,2.90%
395125,273,"State College, PA",40.7934,-77.86,1279,10,2.60%
395079,274,"Sebastian, FL",27.8164,-80.4706,1924,10,12.10%
394453,277,"Chambersburg, PA",39.9376,-77.6611,1017,7.5,8.30%
395193,278,"Vineland, NJ",39.4864,-75.025,1702,12.5,0.00%
394703,279,"Idaho Falls, ID",43.4917,-112.0339,1055,12.5,0.90%
394639,280,"Grand Junction, CO",39.0639,-108.5506,1436,12.5,3.30%
394563,281,"Elizabethtown, KY",37.7031,-85.8649,914,10,1.80%
394917,282,"Niles, MI",41.8295,-86.2542,1324,7.5,2.20%
394873,283,"Monroe, MI",41.9164,-83.3977,1086,10,2.90%
395066,284,"Santa Fe, NM",35.687,-105.9378,1830,12.5,-3.30%
394493,285,"Concord, NH",43.2081,-71.5376,2135,12.5,5.50%
395163,287,"Traverse City, MI",44.7631,-85.6206,1630,10,0.00%
394359,288,"Bangor, ME",44.8012,-68.7778,1405,10,6.70%
394685,289,"Homosassa Springs, FL",28.8025,-82.5555,1338,7.5,0.00%
394662,290,"Hanford, CA",36.3275,-119.6457,1352,10,1.50%
394723,291,"Jefferson City, MO",38.5767,-92.1735,782,10,12.70%
394598,292,"Florence, AL",34.7998,-87.6773,789,10,1.40%
394306,295,"Albany, GA",31.5785,-84.1557,857,10,-0.90%
845167,296,"Ottawa, IL",41.3456,-88.8426,915,7.5,3.80%
395102,297,"Sioux City, IA",42.4993,-96.4003,1187,12.5,9.00%
395223,298,"Wichita Falls, TX",33.9137,-98.4934,838,10,2.30%
395182,300,"Valdosta, GA",30.8327,-83.2785,1396,10,9.20%
394800,301,"Logan, UT",41.7355,-111.8344,1160,10,2.30%
394595,302,"Flagstaff, AZ",35.1983,-111.6513,2081,10,2.30%
395036,303,"Rocky Mount, NC",35.9382,-77.7905,756,10,0.00%
395000,304,"Pottsville, PA",40.6856,-76.195,992,7.5,15.80%
394783,306,"Lebanon, PA",40.3409,-76.4113,1234,10,8.90%
395232,308,"Winchester, VA",39.1857,-78.1633,1722,10,5.30%
395221,309,"Wheeling, WV",40.063,-80.7214,817,10,6.70%
394879,310,"Morgantown, WV",39.6295,-79.9559,1218,10,2.50%
394756,311,"La Crosse, WI",43.8014,-91.2396,1035,10,3.10%
394900,312,"Napa, CA",38.2975,-122.2869,2524,10,0.90%
395013,313,"Rapid City, SD",44.0805,-103.231,1130,12.5,2.30%
395139,314,"Sumter, SC",33.9204,-80.3415,1042,10,2.20%
394577,315,"Eureka, CA",40.8021,-124.1637,1337,12.5,4.70%
394668,317,"Harrisonburg, VA",38.4496,-78.8689,1568,10,6.30%
394368,318,"Battle Creek, MI",42.3212,-85.1797,1148,12.5,8.40%
395094,319,"Sherman, TX",33.6357,-96.6089,1338,10,3.10%
394821,320,"Manhattan, KS",39.1836,-96.5717,862,7.5,8.30%
394442,321,"Carbondale, IL",37.7273,-89.2168,709,10,4.30%
394728,323,"Jonesboro, AR",35.8423,-90.7043,989,10,8.50%
394390,324,"Bismarck, ND",46.8083,-100.7837,1385,10,8.90%
394661,325,"Hammond, LA",30.5044,-90.4612,1199,10,5.90%
394983,326,"Pittsfield, MA",42.4501,-73.2454,1552,10,6.60%
394890,327,"Mount Vernon, WA",48.4212,-122.3341,1973,10,-2.40%
395153,329,"The Villages, FL",28.926,-81.985,1648,12.5,2.30%
394307,330,"Albany, OR",44.6365,-123.1059,1476,10,4.50%
394633,331,"Glens Falls, NY",43.3095,-73.644,1230,10,0.00%
394780,332,"Lawton, OK",34.6036,-98.3959,1029,10,0.50%
394474,334,"Cleveland, TN",35.1595,-84.8766,1414,10,2.90%
395098,335,"Sierra Vista, AZ",31.5455,-110.2773,977,10,5.90%
394325,336,"Ames, IA",42.0308,-93.6319,876,10,6.50%
394824,337,"Mansfield, OH",40.7584,-82.5154,830,10,0.00%
395128,338,"Staunton, VA",38.1496,-79.0717,1174,10,0.00%
394353,339,"Augusta, ME",44.3106,-69.7795,1359,10,6.50%
394321,340,"Altoona, PA",40.5187,-78.3947,857,10,0.00%
394905,341,"New Bern, NC",35.1085,-77.0441,1412,10,6.00%
394588,342,"Farmington, NM",36.7281,-108.2187,1066,10,0.00%
395120,343,"St. Joseph, MO",39.7675,-94.8467,804,10,0.00%
395054,344,"San Angelo, TX",31.4638,-100.437,1073,12.5,0.00%
395218,345,"Wenatchee, WA",47.4235,-120.3103,1737,10,0.50%
394778,349,"Lawrence, KS",38.9717,-95.2353,984,10,8.80%
394635,350,"Goldsboro, NC",35.3849,-77.9928,1033,10,0.00%
395213,351,"Watertown, NY",43.9748,-75.9108,1221,10,-0.40%
395089,352,"Sheboygan, WI",43.7508,-87.7145,912,10,1.60%
395217,353,"Weirton, WV",40.4184,-80.589,758,7.5,-0.80%
394867,354,"Missoula, MT",46.8721,-113.994,1367,10,3.20%
395237,355,"Wooster, OH",40.8051,-81.9351,1395,7.5,2.60%
394407,356,"Bozeman, MT",45.677,-111.0429,2105,12.5,0.20%
394333,357,"Anniston, AL",33.6598,-85.8316,772,10,2.20%
395225,359,"Williamsport, PA",41.2412,-77.0011,1047,10,4.20%
394423,360,"Brunswick, GA",31.1498,-81.4915,1413,10,2.50%
395173,361,"Twin Falls, ID",42.561,-114.4609,1253,10,7.20%
753872,361,"California, MD",38.3002,-76.5077,1807,10,5.90%
394495,363,"Cookeville, TN",36.1628,-85.5016,1026,10,5.20%
394893,364,"Muncie, IN",40.1934,-85.3864,872,7.5,12.30%
394788,367,"Lewiston, ME",44.1004,-70.2148,1536,10,6.40%
394804,368,"Longview, WA",46.1382,-122.9382,1176,10,4.80%
394932,369,"Ogdensburg, NY",44.6934,-75.486,1061,7.5,0.00%
394734,370,"Kankakee, IL",41.12,-87.8612,1137,7.5,5.60%
395023,373,"Richmond, KY",37.7479,-84.2947,891,10,1.20%
395222,375,"Whitewater, WI",42.8339,-88.7326,1254,7.5,0.00%
394709,376,"Ithaca, NY",42.4439,-76.5019,1737,10,2.90%
394637,377,"Grand Forks, ND",47.9253,-97.0329,1047,10,8.10%
394762,379,"LaGrange, GA",33.0393,-85.0314,1292,10,1.00%
394369,380,"Bay City, MI",43.5945,-83.8889,1283,7.5,0.00%
394599,381,"Fond du Lac, WI",43.775,-88.4388,1012,10,5.20%
394733,384,"Kalispell, MT",48.191,-114.316,1708,10,2.10%
394823,386,"Mankato, MN",44.1636,-93.9994,1202,10,3.60%
395166,389,"Truckee, CA",39.3279,-120.1833,1875,7.5,0.00%
395080,390,"Sebring, FL",27.4956,-81.4409,1253,7.5,0.00%
394462,391,"Cheyenne, WY",41.1398,-104.8202,1071,10,7.00%
395090,394,"Shelby, NC",35.2924,-81.5356,1100,10,0.00%
394542,396,"Dubuque, IA",42.5006,-90.6646,893,10,5.90%
394852,397,"Meridian, MS",32.3643,-88.7037,1173,12.5,0.00%
