RegionID,SizeRank,City/State,Lat,Long,Monthly Average,Radius,YOY
394372,140,"Beaumont, TX",30.0802,-94.1266,1074,15.0,6.20%
395096,141,"Shreveport, LA",32.5252,-93.7502,1387,12.5,5.50%
395164,142,"Trenton, NJ",40.2171,-74.7429,2517,12.5,2.60%
394875,143,"Montgomery, AL",32.3792,-86.3077,1370,12.5,3.90%
394520,144,"Davenport, IA",41.5236,-90.5776,856,15.0,-0.60%
395146,145,"Tallahassee, FL",30.4383,-84.2807,1401,12.5,4.20%
394576,146,"Eugene, OR",44.0521,-123.0868,1764,12.5,2.40%
394901,147,"Naples, FL",26.142,-81.7948,2336,12.5,-1.60%
394332,148,"Ann Arbor, MI",42.2808,-83.743,2087,12.5,3.40%
394927,149,"Ocala, FL",29.1872,-82.1401,1475,12.5,2.30%
394679,150,"Hickory, NC",35.7332,-81.3412,1392,12.5,7.90%
394697,151,"Huntington, WV",38.4193,-82.4452,869,12.5,5.50%
394602,152,"Fort Collins, CO",40.5853,-105.0844,1719,12.5,0.50%
395033,153,"Rockford, IL",42.2711,-89.0937,1076,12.5,9.60%
394796,154,"Lincoln, NE",40.8136,-96.7026,1169,12.5,2.50%
394622,155,"Gainesville, FL",29.6516,-82.3248,1579,12.5,4.10%
394405,156,"Boulder, CO",40.01499,-105.2705,2115,12.5,-0.10%
394646,157,"Green Bay, WI",44.5133,-88.0133,980,12.5,4.90%
394488,158,"Columbus, GA",32.46,-84.9877,1169,15.0,5.20%
395107,159,"South Bend, IN",41.6764,-86.252,1564,12.5,10.50%
395109,160,"Spartanburg, SC",34.9496,-81.932,1323,15.0,3.60%
394645,161,"Greeley, CO",40.4233,-104.7091,1488,12.5,0.70%
394808,162,"Lubbock, TX",33.5779,-101.8552,1016,12.5,0.30%
394471,163,"Clarksville, TN",36.5298,-87.3595,1160,12.5,1.40%
395028,164,"Roanoke, VA",37.2709,-79.9414,1302,12.5,6.70%
394579,165,"Evansville, IN",37.9716,-87.5711,811,12.5,6.30%
394747,167,"Kingsport, TN",36.5484,-82.5618,1126,12.5,5.30%
394741,168,"Kennewick, WA",46.2112,-119.1372,1678,12.5,2.00%
395179,169,"Utica, NY",43.1009,-75.2327,1186,12.5,1.20%
394660,170,"Hagerstown, MD",39.6418,-77.719,1443,12.5,4.10%
394543,171,"Duluth, MN",46.7867,-92.1005,1227,12.5,7.60%
394937,172,"Olympia, WA",47.0379,-122.9007,1870,12.5,5.60%
394803,173,"Longview, TX",32.5007,-94.7405,1000,10.0,6.90%
395229,174,"Wilmington, NC",34.2257,-77.9447,1558,12.5,-0.50%
395061,175,"San Luis Obispo, CA",35.2828,-120.6596,2426,12.5,6.10%
753875,176,"Crestview, FL",30.7621,-86.5705,1802,10.0,-2.80%
394851,177,"Merced, CA",37.3022,-120.482,1507,12.5,5.80%
395197,178,"Waco, TX",31.5493,-97.1467,1371,12.5,-1.10%
394447,179,"Cedar Rapids, IA",41.9779,-91.6656,852,12.5,5.00%
394348,180,"Atlantic City, NJ",39.3643,-74.4229,1893,10.0,10.00%
394412,181,"Bremerton, WA",47.5673,-122.6326,1883,12.5,3.20%
395103,182,"Sioux Falls, SD",43.5446,-96.7311,1098,12.5,-0.30%
395065,183,"Santa Cruz, CA",36.9741,-122.0308,3263,12.5,2.00%
394572,184,"Erie, PA",42.1292,-80.0851,911,15.0,10.90%
394924,185,"Norwich, CT",41.5243,-72.0759,1677,10.0,0.60%
